ID,number_of_loops,loop_input_dependent_level,nested_loop_level,number_of_defined_threads,number_of_started_threads,number_of_join_threads,number_of_defined_locks,number_of_acquired_locks_threads,number_of_released_locks,number_of_usage_of_extra,number_of_usage_of_values_list,number_of_usage_of_select_related
5a723cc4bc73898ea681993d1ae70ba4a7a8aaa9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a33b567ba3afcfb275d43fca24a400c8bbd9ae8c,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c1884969b3d1bcf7fd5dbf887f5d30c895a35a4d,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7bcbe91ed1444729a2dc31f54682468aa79ed0b9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b33c59ca8af612089a8088c4f7737b5cf07d9d22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b2b5c4aedf5c87e2b7b2d625f22a9386320041bf,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e8c9f48b851653d924983329f564656e79be276a,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eca9dc330e7389e004b9d1fa47292de06aa72409,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8ed9ce766d379d791f4e9f7ffb213c08d9ddd31c,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ce9acbfe6d0badf16ce30e278afd99b6bc6908ea,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0349a5638b43b2bd14010aae2390eb5ac3f7fec8,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aea59408ec8dba5da4523c17786643a063cbcd80,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41f266b346fb80eb3db643533ef154e1fc9ab4bd,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194a925041ac7d3ace5ba362cdd6ec4a2c04f190,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34766b2d36a3e8649fd770ecead2ffac881712b8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7d3f73bdd5f5ebe4699fe7264f4d4356e94ab45f,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ce2cc9c07fd0d94c25c932ab8ddc7564df52b980,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97ebcf2edfbfafd4c3928f1e66d359e151193c8c,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3da93641862a227bf90c915eea8a270946a00130,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8b62448954fe07d05c0b663db5de252ae432ca0e,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a329b4e68a237b3df5d93ff0d582730f8c2107ef,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9aec3c55350f7842d089240ff3ce88d4114f8a48,3,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b09ab65010bfc7d943c272432df77d3810277bff,1,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230e271c4e57c58bfbddc128f4bd16fe538e5066,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7e9c887ea37506d86d06252ddf4dc7c64ce91610,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4a80087885fd5021cf21ca72620f1e631a5e3b89,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3d9e880e518ebf5cfe1cbfd7db794cf805b60af0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75d378c37b273c4ec644e6bc8441da7e6e335f8b,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
778c95319fafee11be02cf73eea0f87361627d82,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
581d290313fc91242e66fb1d36149656b4d93ea6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c58133ad260072e3c0e0e76752f3f34a9640e774,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fe3d339658b0c25eaaeac9d413a08c4db100b66d,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3e647e7a210c599b174fa06236fa92efa4d41453,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cbf95d367e894a3d1c92f925cb0103704825bb39,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7e4ef650d14cef3e0dc9f089bb1dae699d7b1da6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
db0fa5e6cee9735781319eba08b57e525bb357d0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0f1ff04b9383e5cd636af9610412201f86fc2bf4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05ee95d9dca6056731ea6bcba1b53765bacb1de1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4b2bace3020d45e3adb7d3ad44693f55c1ce175a,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396e60e1f0dedf39207978834e620476f8534101,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90c4390107a890ef56e940678c50a68acb01621a,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74d27fb39f7ebb4f9c9628725114208313f16fb7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
511b2338a00b9e8c62dd40510e90fafcc0ec119a,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b91c38965b279310809a311e68f57dc01ab8c065,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
de6356aa94129ea86002f6a12f1d59b02db33b4e,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dc4c8decc4219a11f1c27986322a56ed80bd862f,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8935489775c6033b14fdf1ecb966cac9471a35aa,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4c14df8b8c26937f378edd62c7379e1bd7fc2686,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
995d9f65ae866be2ba608ede20017fb010349ca3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14f9015f5c8d1950788f135d6e50d73a8e3504ca,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b8ce923b7d53ddbeef3027cc44e71744bd81d049,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4ca67162b490e85337e02c752f21b73ec865801a,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9c6566410c4605db0cd804949987e11192bf3fbf,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
f47d3f7f2e488f15ce7c3b106cc7780816103fb2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
